Role,Job Title,Country,Company Size,Qualifications,Preference,Job Portal,Posting Date,Contact Person,Company Name
Data Engineer,Data Scientist,USA,15000,B.Tech,Female,LinkedIn,03-01-2023,Anita,ApexAnalytics
Data Engineer,Data Scientist,Germany,20000,B.Tech,Female,LinkedIn,05-01-2023,Ravi,GlobalDataWorks
Data Engineer,Data Scientist,UK,18000,B.Tech,Female,LinkedIn,10-01-2023,Meena,TechVisionGroup
Data Engineer,Data Scientist,USA,22000,B.Tech,Female,LinkedIn,12-01-2023,Sara,DataCoreSystems
Data Engineer,Data Scientist,France,14000,B.Tech,Female,LinkedIn,15-01-2023,Lina,InnovateAnalytics
Data Engineer,Data Scientist,USA,30000,B.Tech,Female,LinkedIn,18-01-2023,Anu,QuantumDataLbas
Data Engineer,Data Scientist,Germany,25000,B.Tech,Female,LinkedIn,20-01-2023,Reena,AlphaDataSystems
Data Engineer,Data Scientist,UK,17000,B.Tech,Female,LinkedIn,22-01-2023,Pooja,NextGenAnalytics
Data Engineer,Data Scientist,USA,19000,B.Tech,Female,LinkedIn,25-01-2023,Neha,DataSphereSolutions
Data Engineer,Data Scientist,Italy,16000,B.Tech,Female,LinkedIn,28-01-2023,Aria,SmartDataWorks
Data Engineer,Data Scientist,USA,21000,B.Tech,Female,LinkedIn,02-02-2023,Anika,VisionAnalyticsCorp
Data Engineer,Data Scientist,Germany,24000,B.Tech,Female,LinkedIn,05-02-2023,Meera,DataBridgeSystems
Data Engineer,Data Scientist,UK,26000,B.Tech,Female,LinkedIn,10-02-2023,Isha,CloudDataTech
Data Engineer,Data Scientist,USA,28000,B.Tech,Female,LinkedIn,12-02-2023,Sonia,NextWaveAnalytics
Data Engineer,Data Scientist,France,23000,B.Tech,Female,LinkedIn,15-02-2023,Aisha,DataFusionLabs
Data Engineer,Data Scientist,USA,31000,B.Tech,Female,LinkedIn,18-02-2023,Riya,TechDataSolutions
Data Engineer,Data Scientist,Germany,27000,B.Tech,Female,LinkedIn,20-02-2023,Sana,GlobalInsightTech
Data Engineer,Data Scientist,UK,20000,B.Tech,Female,LinkedIn,22-02-2023,Nina,FutureDataGroup
Data Engineer,Data Scientist,USA,33000,B.Tech,Female,LinkedIn,25-02-2023,Diya,PrimeAnalyticsHub
Data Engineer,Data Scientist,France,15000,B.Tech,Female,LinkedIn,01-03-2023,Alia,DataMatrixSystems
Data Engineer,Data Scientist,USA,35000,B.Tech,Female,LinkedIn,03-03-2023,Ananya,HyperDataWorks
Data Engineer,Data Scientist,Germany,29000,B.Tech,Female,LinkedIn,06-03-2013,Tina,CloudAnalyticsPro
Data Engineer,Data Scientist,UK,24000,B.Tech,Female,LinkedIn,09-03-2013,Ritu,SmartInsightLabs
Data Engineer,Data Scientist,USA,36000,B.Tech,Female,LinkedIn,12-03-2023,Kavya,DataNextSolutions
Data Engineer,Data Scientist,France,18000,B.Tech,Female,LinkedIn,15-03-2023,Maya,VisionDataGroup
Data Engineer,Data Scientist,USA,38000,B.Tech,Female,LinkedIn,18-03-2023,Sneha,UltraAnalyticsTech
Data Engineer,Data Scientist,Germany,32000,B.Tech,Female,LinkedIn,20-03-2023,Divya,DataFlowSystems
Data Engineer,Data Scientist,UK,27000,B.Tech,Female,LinkedIn,22-03-2023,Neelam,CoreAnalyticsHub
Data Engineer,Data Scientist,USA,40000,B.Tech,Female,LinkedIn,25-03-2023,Priya,MetaDataSolutions
Data Engineer,Data Scientist,France,20000,B.Tech,Female,LinkedIn,28-03-2023,Anjali,NextGenDataWorks
Data Engineer,Data Scientist,Germany,34000,B.Tech,Female,LinkedIn,01-04-2023,Sakshi,DataPulseSystems
Data Engineer,Data Scientist,UK,29000,B.Tech,Female,LinkedIn,03-04-2023,Ira,AlphaAnalyticsGroup
Data Engineer,Data Scientist,USA,42000,B.Tech,Female,LinkedIn,05-04-2023,Riya,QuantumInsightLabs
Data Engineer,Data Scientist,Germany,36000,B.Tech,Female,LinkedIn,08-04-2023,Megha,CloudDataMatrix
Data Engineer,Data Scientist,UK,31000,B.Tech,Female,LinkedIn,10-04-2023,Tanya,-
